제목,장르,총 평점,유저 평점
인게이지먼트,드라마,3.4,3.0
몽상가들,드라마,3.6,3.5
성 리수일뎐,드라마,2.1,2.0
천재 선언,코미디,2.3,2.0
달빛 사냥꾼,범죄,2.6,2.5
낮은 대로 임하소서,드라마,2.8,2.5
황진이,드라마,2.8,2.5
어둠의 자식들,로맨스,3.1,3.0
베를린 리포트,드라마,2.6,2.5
안개 마을,드라마,3.2,3.0
안녕하세요 하나님,드라마,3.2,3.0
난장이가 쏘아올린 작은 공,드라마,3.2,3.0
깊고 푸른 밤,로맨스,3.2,3.0
누가 용의 발톱을 보았는가,스릴러,2.5,2.0
어우동,드라마,2.7,2.5
헤어 드레서,코미디,2.1,2.0
무릎과 무릎 사이,로맨스,2.6,2.5
겨울 나그네,로맨스,3.2,3.0
개그맨,코미디,3.0,2.5
이장호의 외인구단,스포츠,2.9,2.5
영원한 제국,시대극,3.0,3.0
남부군,드라마,3.2,3.0
고래 사냥,드라마,3.3,3.0
사과,프랑스,4.1,4.0
고요,프랑스,3.7,3.5
비상구가 없다,드라마,2.3,2.0
아스팔트 위의 동키호테,드라마,2.4,2.0
칠수와 만수,드라마,3.3,3.0
돈을 갖고 튀어라,로맨틱코미디,2.7,2.5
게임의 법칙,액션,3.4,3.0
천군,시대극,2.6,2.5
블랙 로브,드라마,3.3,3.0
럭키 브레이크,독일,2.7,2.5
스카우트,스포츠,2.7,2.5
라이트닝 잭,코미디,2.2,2.0
스패로우,드라마,3.0,3.0
딕 트레이시,액션,3.1,3.0
필사의 도전,드라마,3.7,3.5
데드 프레지던트,드라마,3.3,3.0
프리 머니,스릴러,2.3,2.0
미스터 마구,미국,2.8,2.5
실종,드라마,2.9,2.5
미스터 디즈,로맨스,3.1,3.0
문워커,판타지,3.2,3.0
환상특급,공포,3.6,3.5
백마 타고 휘파람 불고,로맨틱코미디,2.5,2.5
탱크 걸,액션,3.0,2.5
마이 라이프,드라마,3.3,3.0
가라데 키드,액션,2.6,2.5
웨딩 크래셔,로맨틱코미디,3.1,3.0
스위티,드라마,3.6,3.5
웨인즈 월드,코미디,3.1,3.0
아빠는 나의 영웅,로맨틱코미디,2.7,2.5
제니퍼 연쇄 살인 사건,스릴러,2.8,2.5
굿나잇 앤 굿럭,드라마,3.7,3.5
트루 로맨스,액션,3.6,3.5
록키 3,스포츠,3.5,3.0
페어 게임,액션,2.6,2.5
타임캅,액션,2.7,2.5
케이-펙스,드라마,3.8,3.5
돈 쥬앙,로맨스,2.9,2.5
스텝포드 와이프,스릴러,3.1,3.0
하이랜더,액션,3.4,3.0
시스터 액트 2,음악,3.7,3.5
흡혈 식물 대소동,SF,3.4,3.0
이토록 뜨거운 순간,음악,3.6,3.5
콩고,드라마,2.9,2.5
패신저 57,액션,3.2,3.0
육체의 증거,스릴러,2.4,2.0
컷스로트 아일랜드,액션,3.1,3.0
로보캅 2,액션,3.3,3.0
생선 쿠스쿠스,드라마,3.8,3.5
벼랑 끝에 걸린 사나이,드라마,2.9,2.5
3:10 투 유마,서부극,3.4,3.0
돌로레스 클레이븐,스릴러,3.5,3.5
불을 찾아서,판타지,3.5,3.5
브룩클린으로 가는 마지막 비상구,드라마,3.6,3.5
로봇 앤 프랭크,코미디,3.4,3.0
프랭크,음악,3.4,3.0
프랭키 스타라이트,로맨스,3.5,3.0
미스터 원더풀,로맨스,2.9,2.5
럼블 피쉬,범죄,3.4,3.0
마돈나: 진실 혹은 대담,다큐멘터리,3.1,3.0
잠복근무 2,스릴러,2.8,2.5
영웅 돌아오다,한국,2.8,2.5
늑대의 호기심이 비둘기를 훔쳤다,한국,2.1,2.0
Y의 체험,드라마,2.4,2.0
불새,드라마,2.7,2.5
테레사의 연인,로맨스,2.1,2.0
말미잘,드라마,2.8,2.5
우리는 지금 제네바로 간다,드라마,2.6,2.5
명자 아끼꼬 쏘냐,한국,2.4,2.0
주윤발의 협도고비,액션,2.9,2.5
감옥풍운,액션,3.2,3.0
화평본위,서부극,2.9,2.5
우견아랑,드라마,3.4,3.0
도성,범죄,3.6,3.5
황후화,액션,3.2,3.0
"사랑해, 파리",코미디,3.4,3.0
클레어의 카메라,드라마,3.2,3.0
어벤져스: 인피니티 워,액션,4.1,4.0
몬태나,드라마,3.3,3.0
당신의 부탁,드라마,3.2,3.0
판타스틱 우먼,드라마,3.4,3.0
레이디 버드,코미디,3.9,3.5
레디 플레이어 원,액션,3.7,3.5
곤지암,공포,2.9,2.5
7년의 밤,스릴러,2.4,2.0
콜 미 바이 유어 네임,드라마,4.0,3.5
퍼시픽 림: 업라이징,액션,2.8,2.5
120BPM,드라마,3.6,3.5
쓰리 빌보드,범죄,4.0,4.0
사라진 밤,스릴러,3.0,3.0
플로리다 프로젝트,드라마,4.0,3.5
탠저린,코미디,3.6,3.5
팬텀 스레드,로맨스,4.0,4.0
겟 아웃,스릴러,3.7,3.5
리틀 포레스트,드라마,3.9,3.5
나미야 잡화점의 기적,판타지,3.4,3.0
더 퀸,드라마,3.3,3.0
악마의 등뼈,판타지,3.6,3.5
크로노스,스릴러,3.3,3.0
리노의 도박사,범죄,3.5,3.5
인히어런트 바이스,로맨스,3.5,3.0
더 포스트,스릴러,4.0,3.5
셰이프 오브 워터: 사랑의 모양,모험,3.9,3.5
골든슬럼버,범죄,2.5,2.0
블랙 팬서,액션,3.5,3.0
올 더 머니,범죄,3.4,3.0
누에치던 방,드라마,2.9,2.5
염력,드라마,2.1,2.0
다키스트 아워,드라마,3.7,3.5
아름다운 별,코미디,2.7,2.5
백색의 계절,드라마,3.4,3.0
천사와 악마,미스터리,3.5,3.5
가장 위험한 해,로맨스,2.7,2.5
스모킹 에이스,액션,3.2,3.0
나는 앤디 워홀을 쏘았다,드라마,3.3,3.0
브롱스 이야기,범죄,3.2,3.0
코코,애니메이션,4.0,4.0
다운사이징,SF,2.6,2.5
"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?",애니메이션,2.0,2.0
쥬만지: 새로운 세계,액션,3.4,3.0
패터슨,드라마,3.9,3.5
1987,드라마,4.0,3.5
신과함께-죄와 벌,판타지,3.7,3.5
강철비,드라마,3.3,3.0
세 번째 살인,스릴러,3.6,3.5
철원기행,가족,3.2,3.0
"안녕, 나의 소울메이트",드라마,3.8,3.5
초행,드라마,3.6,3.5
우리는 같은 꿈을 꾼다,로맨스,3.6,3.5
미스테리어스 스킨,드라마,3.6,3.5
빌리 진 킹: 세기의 대결,코미디,3.6,3.5
저스티스 리그,판타지,2.8,2.5
러빙 빈센트,애니메이션,3.9,3.5
미옥,범죄,2.0,1.5
채비,가족,2.9,2.5
침묵,범죄,3.1,3.0
폭력의 씨앗,드라마,3.0,2.5
꿈의 제인,드라마,3.7,3.5
룩 앳 미,드라마,3.2,3.0
시드와 낸시,드라마,3.4,3.0
마이크롭 앤 가솔린,모험,3.7,3.5
오고 가며,드라마,4.1,4.0
뱀파이어 헌터 D,판타지,3.7,3.5
잠자는 남자,일본,2.9,2.5
유레카,일본,4.0,4.0
그래도 내가 하지 않았어,드라마,3.6,3.5
신의 코미디,드라마,4.0,3.5
신의 아그네스,스릴러,3.4,3.0
총알 발레,드라마,3.5,3.5
6월의 뱀,드라마,2.9,2.5
철남,공포,3.5,3.0
버터플라이 키스,드라마,3.4,3.0
빅터 빅토리아,코미디,3.6,3.5
바텔,드라마,2.9,2.5
뉴욕 스토리,드라마,3.2,3.0
에어플레인,재난,3.4,3.0
홀리 스모크,드라마,3.0,3.0
영거 앤 영거,코미디,3.4,3.0
뒤로 가는 남과 여,드라마,2.9,2.5
해피 길모어,코미디,3.2,3.0
해리 파괴하기,코미디,3.5,3.5
007 옥터퍼시,액션,3.4,3.0
바틀 로켓,범죄,3.4,3.0
결혼 만들기,로맨틱코미디,2.8,2.5
스탠리와 아이리스,로맨스,3.4,3.0
유혹의 선,스릴러,3.3,3.0
프리 윌리 2,드라마,3.4,3.0
한여름 밤의 섹스 코미디,로맨틱코미디,3.3,3.0
코만도,액션,3.2,3.0
폭풍 속으로,액션,3.7,3.5
비디오드롬,공포,3.5,3.5
삼총사,액션,3.3,3.0
불리,범죄,2.9,2.5
나이스 줄리,코미디,2.8,2.5
맨츄리안 켄디데이트,드라마,3.1,3.0
하우스 오브 스피리트,로맨스,3.5,3.5
프랑스 중위의 여자,로맨스,3.4,3.0
프레리 홈 컴패니언,코미디,3.1,3.0
매디슨 카운티의 다리,로맨스,3.7,3.5
랑데부,로맨스,3.0,2.5
폭풍의 언덕,드라마,3.3,3.0
데미지,드라마,3.3,3.0
클라우즈 오브 실스마리아,드라마,3.7,3.5
퐁네프의 연인들,드라마,3.8,3.5
토르: 라그나로크,액션,3.9,3.5
너의 췌장을 먹고 싶어,로맨스,3.3,3.0
유리정원,미스터리,2.7,2.5
쿄오꼬,드라마,2.3,2.0
보카 보카,로맨틱코미디,2.9,2.5
원초적 무기,코미디,2.8,2.5
영 건,액션,3.1,3.0
잠복근무,로맨틱코미디,3.3,3.0
클릭,코미디,3.4,3.0
아미티빌 호러,드라마,3.0,2.5
아담스 패밀리,코미디,3.5,3.0
아폴로 13,모험,3.6,3.5
P.S. 아이 러브 유,코미디,3.6,3.5
당신과 함께한 순간들,드라마,3.7,3.5
아이 앰 히스 레저,다큐멘터리,3.8,3.5
스코어: 영화음악의 모든 것,다큐멘터리,3.8,3.5
마더!,스릴러,3.4,3.0
블레이드 러너 2049,액션,3.7,3.5
주키퍼스 와이프,드라마,3.5,3.0
남한산성,시대극,3.6,3.5
킹스맨: 골든 서클,액션,3.4,3.0
우리의 20세기,드라마,3.8,3.5
해피 버스데이,드라마,3.4,3.0
어 퍼펙트 데이,드라마,3.8,3.5
잃어버린 도시 Z,모험,3.3,3.0
아이 캔 스피크,드라마,3.9,3.5
여배우는 오늘도,코미디,3.5,3.5
베이비 드라이버,액션,3.7,3.5
윈드 리버,범죄,3.7,3.5
몬스터 콜,모험,3.7,3.5
그것,스릴러,3.0,2.5
매혹당한 사람들,드라마,3.1,3.0
살인자의 기억법,범죄,3.3,3.0
밤섬해적단 서울불바다,다큐멘터리,3.6,3.5
초속 5센티미터,로맨스,3.7,3.5
브이아이피,드라마,2.5,2.5
혹성탈출: 종의 전쟁,액션,3.6,3.5
예감은 틀리지 않는다,드라마,3.3,3.0
노후 대책 없다,다큐멘터리,3.4,3.0
레이디 맥베스,로맨스,3.5,3.5
택시운전사,가족,4.0,4.0
군함도,액션,3.1,3.0
플립,틴에이저,4.0,4.0
덩케르크,역사,4.0,3.5
스파이더맨: 홈커밍,액션,4.0,3.5
그 후,로맨스,3.5,3.0
박열,시대극,3.6,3.5
리얼,액션,1.1,1.0
옥자,드라마,3.6,3.5
트랜스포머: 최후의 기사,SF,2.4,2.0
나의 붉은 고래,애니메이션,3.2,3.0
악녀,액션,3.1,3.0
엘르,범죄,3.6,3.5
미이라,액션,2.7,2.5
원더 우먼,전쟁,3.3,3.0
고려 아리랑: 천산의 디바,다큐멘터리,3.0,3.0
노무현입니다,다큐멘터리,3.8,3.5
이터너티,시대극,2.6,2.5
네루다,드라마,3.3,3.0
캐리비안의 해적: 죽은 자는 말이 없다,모험,3.3,3.0
불한당: 나쁜 놈들의 세상,범죄,3.6,3.5
"컴, 투게더",드라마,2.8,2.5
에이리언: 커버넌트,SF,3.6,3.5
에이리언 2,액션,3.8,3.5
에이리언 vs. 프레데터,공포,3.0,2.5
목소리의 형태,애니메이션,3.8,3.5
세일즈맨,드라마,3.6,3.5
언노운 걸,스릴러,3.4,3.0
보안관,범죄,3.2,3.0
가디언즈 오브 갤럭시 VOL. 2,액션,3.9,3.5
특별시민,드라마,3.1,3.0
파운더,드라마,3.6,3.5
오펀: 천사의 비밀,공포,3.5,3.5
프리찌스 오너,범죄,3.2,3.0
헐리웃 스토리,드라마,3.1,3.0
베니와 준,로맨틱코미디,3.7,3.5
바그다드 카페,드라마,3.9,3.5
클로저,로맨스,3.7,3.5
어느날,로맨스,3.1,3.0
랜드 오브 마인,전쟁,3.9,3.5
대삼원,로맨스,3.0,3.0
동성서취,액션,3.1,3.0
금지옥엽,로맨틱코미디,3.4,3.0
금옥만당,드라마,3.4,3.0
백발마녀전,판타지,3.4,3.0
백발마녀전 2 - 천하무적,액션,3.0,2.5
보이즈 온 더 사이드,드라마,3.2,3.0
섹스 이즈 코미디,코미디,3.0,3.0
네버랜드를 찾아서,드라마,3.3,3.0
걸어서 하늘까지,액션,3.1,3.0
팻 걸,드라마,2.9,2.5
마이 걸,코미디,3.7,3.5
김관장 대 김관장 대 김관장,액션,2.1,2.0
훌라 걸스,드라마,3.2,3.0
공주와 전사,로맨스,3.6,3.5
분노는 오렌지처럼 파랗다,액션,2.9,2.5
분노의 역류,액션,3.7,3.5
분노,드라마,3.8,3.5
공각기동대 : 고스트 인 더 쉘,액션,2.7,2.5
히든 피겨스,역사,4.0,3.5
밤의 해변에서 혼자,드라마,3.4,3.0
행복 목욕탕,가족,3.6,3.5
토니 에드만,코미디,3.8,3.5
미녀와 야수,가족,3.6,3.5
러빙,드라마,3.4,3.0
사일런스,드라마,3.6,3.5
로건,액션,4.0,4.0
싱글라이더,드라마,3.3,3.0
문라이트,드라마,3.8,3.5
23 아이덴티티,공포,3.4,3.0
핵소 고지,드라마,3.8,3.5
맨체스터 바이 더 씨,드라마,3.9,3.5
조작된 도시,스릴러,3.3,3.0
50가지 그림자: 심연,로맨스,2.6,2.5
퍼스널 쇼퍼,드라마,3.4,3.0
사랑의 시대,드라마,3.2,3.0
라이언,드라마,3.7,3.5
컨택트,미스터리,3.9,3.5
재키,드라마,3.2,3.0
더 킹,범죄,3.5,3.5
공조,액션,3.5,3.5
스테잉 얼라이브,코미디,2.7,2.5
얼라이브,재난,3.6,3.5
얼라이드,액션,3.6,3.5
어쌔신 크리드,액션,2.4,2.0
녹터널 애니멀스,드라마,3.6,3.5
여교사,드라마,2.5,2.5
너의 이름은.,드라마,3.9,3.5
로그 원: 스타워즈 스토리,액션,3.6,3.5
마스터,범죄,3.5,3.0
위켄즈,다큐멘터리,3.5,3.0
"당신, 거기 있어줄래요",판타지,3.6,3.5
판도라,드라마,2.9,2.5
비치온더비치,드라마,3.2,3.0
라라랜드,코미디,4.1,4.0
"나, 다니엘 블레이크",드라마,4.1,4.0
미씽: 사라진 여자,미스터리,3.5,3.0
형,드라마,3.5,3.5
테일 오브 테일즈,드라마,3.1,3.0
줄리에타,드라마,3.6,3.5
연애담,드라마,3.4,3.0
신비한 동물사전,가족,3.7,3.5
가려진 시간,드라마,3.3,3.0
당신자신과 당신의 것,드라마,3.6,3.5
로스트 인 더스트,액션,3.8,3.5
돼지가 우물에 빠진 날,드라마,3.4,3.0
밀리언 달러 베이비,드라마,3.8,3.5
그리고 신은 여자를 창조했다,코미디,2.4,2.0
그해 불꽃 놀이는 유난히 화려했다,드라마,3.4,3.0
그럼피어 올드 맨,로맨스,2.8,2.5
그녀는 악마,코미디,2.8,2.5
그럼피 올드 맨,로맨스,3.0,2.5
그들이 어떻게 추락하는지 보라,드라마,3.5,3.5
그후로도 오랫동안,드라마,2.6,2.5
그랜드 캐년,드라마,3.3,3.0
단지 그대가 여자라는 이유만으로,드라마,3.2,3.0
그 해 겨울은 따뜻했네,드라마,3.1,3.0
세비지 그레이스,드라마,3.1,3.0
그들도 우리처럼,드라마,3.4,3.0
"소년, 소녀 그리고 바다",로맨스,3.2,3.0
자헤드: 그들만의 전쟁,전쟁,3.5,3.0
그 섬에 가고 싶다,드라마,3.2,3.0
후라이드 그린 토마토,드라마,3.9,3.5
그랑블루,모험,3.8,3.5
거프만을 기다리며,미국,2.9,2.5
수렁에서 건진 내 딸,한국,2.6,2.5
걸파이트,드라마,3.2,3.0
한 줌의 시간 속에서,드라마,2.9,2.5
개와 늑대 사이의 시간,드라마,3.0,2.5
마지막 사랑,로맨스,3.3,3.0
끝없는 사랑,로맨스,2.8,2.5
콜레라 시대의 사랑,로맨스,2.9,2.5
사랑보다 황금,로맨틱코미디,2.6,2.5
샤크,애니메이션,3.2,3.0
샤인 어 라이트,다큐멘터리,3.2,3.0
더 야드,범죄,3.1,3.0
세븐,스릴러,4.1,4.0
라우더 댄 밤즈,드라마,3.4,3.0
닥터 스트레인지,액션,3.9,3.5
벨빌의 세 쌍둥이,애니메이션,3.7,3.5
마터스,스릴러,2.2,2.0
비틀스: 에잇 데이즈 어 위크 - 투어링 이어즈,다큐멘터리,3.7,3.5
비바,드라마,3.1,3.0
미스 페레그린과 이상한 아이들의 집,모험,3.5,3.0
자백,다큐멘터리,3.6,3.5
죽여주는 여자,드라마,3.5,3.5
디시에르토,드라마,2.7,2.5
맨 인 더 다크,범죄,3.4,3.0
설리: 허드슨강의 기적,드라마,3.8,3.5
다가오는 것들,드라마,3.8,3.5
아수라,범죄,2.9,2.5
카페 소사이어티,드라마,3.4,3.0
벤허,역사,3.3,3.0
밀정,드라마,3.6,3.5
거울나라의 앨리스,모험,3.5,3.0
"고산자, 대동여지도",드라마,2.8,2.5
사랑과 어둠의 이야기,드라마,2.9,2.5
이레셔널 맨,코미디,3.3,3.0
히치콕 트뤼포,다큐멘터리,3.5,3.0
최악의 하루,드라마,3.4,3.0
큐어,범죄,4.0,3.5
버림받은 천사들,아이슬란드,4.0,3.5
자연의 아이들,로맨스,3.8,3.5
글리머 맨,액션,2.5,2.5
메이저 리그 2,코미디,3.2,3.0
스트립티즈,드라마,2.1,2.0
패션 투르카,드라마,2.9,2.5
야반가성,드라마,3.2,3.0
아마게돈,애니메이션,2.2,2.0
프랭키와 자니,로맨틱코미디,3.6,3.5
내일로 흐르는 강,로맨스,3.1,3.0
은행나무 침대,로맨스,2.9,2.5
람보 3,액션,3.1,3.0
람보 2,스릴러,3.3,3.0
람보,모험,3.5,3.0
K2,드라마,3.3,3.0
맥주가 애인보다 좋은 일곱가지 이유,로맨틱코미디,1.6,1.5
스페인 죄수,드라마,3.3,3.0
모험왕,코미디,2.8,2.5
사브리나,로맨스,3.1,3.0
비포 앤 애프터,스릴러,3.1,3.0
킬링 조이,드라마,3.1,3.0
천사탈주,드라마,3.2,3.0
링 2,공포,2.5,2.0
홀랜드 오퍼스,드라마,3.6,3.5
뉴튼 보이즈,액션,2.9,2.5
멍하고 혼돈스러운,드라마,3.3,3.0
잔 다르크 1부 - 전쟁편,드라마,3.8,3.5
잔 다르크 2부 - 감옥편,드라마,3.8,3.5
메탈캅스,코미디,2.4,2.0
풀 메탈 자켓,전쟁,3.8,3.5
버스를 타라,미국,3.5,3.5
클라커즈,드라마,3.5,3.0
브룩클린의 아이들,드라마,3.3,3.0
라이프 인 레드,범죄,2.7,2.5
택시 블루스,드라마,3.5,3.0
나에게 오라,액션,3.1,3.0
투 머치,로맨틱코미디,2.6,2.5
카루나,드라마,2.1,2.0
해피 엔딩,드라마,3.3,3.0
섹스의 반대말,코미디,3.2,3.0
패밀리 비지니스,범죄,3.0,2.5
심판,드라마,3.7,3.5
달콤한 후세,캐나다,3.5,3.0
아라라트,캐나다,2.9,2.5
펠리시아의 여행,드라마,3.5,3.5
엑조티카,드라마,3.4,3.0
에미,드라마,3.1,3.0
안개 기둥,드라마,3.0,2.5
물 위를 걷는 여자,로맨스,2.2,2.0
오세암,드라마,3.1,3.0
301 302,드라마,2.9,2.5
녹색의자,드라마,2.3,2.0
학생부군신위,드라마,3.3,3.0
수호천사,범죄,2.5,2.0
유혹은 밤 그림자처럼,스릴러,3.1,3.0
그린 파파야 향기,드라마,3.5,3.5
씨클로,드라마,3.4,3.0
스피치리스,로맨스,2.4,2.0
본 투 킬,로맨스,2.3,2.0
미세스 파커,드라마,2.9,2.5
밥 로버츠,코미디,3.2,3.0
아이큐,로맨틱코미디,3.0,3.0
탑건,액션,3.7,3.5
낭만풍폭,스포츠,3.1,3.0
진짜 사나이,액션,2.3,2.0
해변의 폴린느,로맨틱코미디,3.8,3.5
녹색 광선,로맨스,3.8,3.5
스트레인저,범죄,2.7,2.5
데스페라도,서부극,3.3,3.0
버드,드라마,3.6,3.5
패션쇼,코미디,2.9,2.5
의본무언,액션,2.3,2.0
이블 데드 3 - 암흑의 군단,공포,3.3,3.0
이블 데드 2,코미디,3.4,3.0
이블 데드,공포,3.5,3.5
주어러,드라마,2.6,2.5
류망의생,코미디,3.2,3.0
블라인드 키스,드라마,2.3,2.0
힛처,액션,3.2,3.0
레이디호크,판타지,3.3,3.0
블레이드 러너,SF,3.9,3.5
정글 속의 고릴라,드라마,3.1,3.0
폭로,드라마,2.9,2.5
지미 헐리우드,드라마,2.8,2.5
굿모닝 베트남,코미디,3.7,3.5
하바나,드라마,3.1,3.0
내츄럴,드라마,3.6,3.5
우리들은 그 노래를 알고 있다,드라마,3.8,3.5
다크맨,SF,3.3,3.0
브루스 브라더스,액션,3.6,3.5
런던의 늑대 인간,공포,3.4,3.0
쇼아,다큐멘터리,4.3,4.0
유하,핀란드,3.4,3.0
레닌그라드 카우보이 미국에 가다,코미디,3.7,3.5
길버트 그레이프,드라마,3.8,3.5
러브 스토리,드라마,3.0,3.0
대통령의 연인,코미디,3.1,3.0
해리가 샐리를 만났을 때,로맨틱코미디,3.8,3.5
미저리,공포,3.7,3.5
지붕 위의 기병,로맨스,3.5,3.5
허영의 불꽃,드라마,3.0,2.5
칼리토,범죄,3.9,3.5
침실의 표적,스릴러,3.4,3.0
스카페이스,드라마,4.0,3.5
카인의 두 얼굴,범죄,3.1,3.0
르네상스 맨,드라마,3.1,3.0
호파,드라마,3.1,3.0
스타 메이커,로맨스,3.6,3.5
베를린 천사의 시,드라마,3.8,3.5
파리 애마,한국,2.4,2.0
파리 텍사스,드라마,3.9,3.5
칵테일,드라마,3.4,3.0
네온 바이블,영국,3.4,3.0
"먼 목소리, 조용한 삶",음악,3.9,3.5
스트라이킹 디스턴스,액션,2.9,2.5
디스턴스,드라마,3.5,3.0
어른들은 청어를 굽는다,드라마,1.6,1.5
형사 니코,액션,2.8,2.5
언더 씨즈,액션,3.2,3.0
잃어버린 아이들의 도시,판타지,3.6,3.5
나의 성생활: 나는 어떻게 싸웠는가,드라마,3.4,3.0
파수병,프랑스,3.5,3.0
프로젝트 S,범죄,2.8,2.5
코르셋,로맨틱코미디,2.2,2.0
폼포코 너구리 대작전,판타지,3.5,3.0
추억은 방울방울,애니메이션,3.5,3.0
업 클로즈 앤 퍼스널,로맨스,3.3,3.0
투 웡 푸,코미디,3.1,3.0
울프,공포,3.0,2.5
가을 날의 동화,드라마,3.4,3.0
4월의 유혹,로맨스,3.4,3.0
긴급 명령,액션,3.3,3.0
죽음의 항해,공포,3.1,3.0
바베트의 만찬,드라마,3.8,3.5
불타는 태양,로맨스,3.1,3.0
갈리폴리,전쟁,3.5,3.5
전선 위의 참새,코미디,3.3,3.0
프로스페로의 서재,판타지,3.5,3.0
